@relation eclipse-jhawk-smote

@attribute id numeric
@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
1077,1,0,2,13,10,115.16,0.1,2,0,1,3,0,2,1,2.67,0,0,0,0,0,43.19,8,1,0,5,1,0,0
1111,1,0,2,16,13,228.37,0.2,2,0,1,3,0,2,1,3.86,0,0,0,0,0,59.21,9,1,0,7,2,0,0
1147,1,1,2,10,7,93.58,0.1,0,0,0,3,1,0,1,3.33,0,0,0,0,0,28.7,5,0,0,5,3,0,0
1150,1,0,3,31,22,645.13,0.5,2,1,0,4,0,4,1,4.67,0,0,0,0,0,138.24,20,7,0,11,7,0,0
1151,1,0,3,26,18,551.95,0.4,3,1,1,4,0,3,1,5.9,0,0,1,0,0,108.42,16,5,0,10,6,0,0
1152,3,2,9,70,26,2632.25,0.11,1,2,1,11,2,2,1,8,0,0,0,0,1,329.3,36,15,1,34,14,0,0
1153,1,0,3,20,14,380.74,0.3,2,1,1,4,0,1,1,5,0,0,1,0,0,76.15,10,3,0,10,4,0,0
1154,1,0,3,28,17,560.8,0.4,1,0,0,4,0,2,1,4.9,0,0,0,2,0,114.45,14,4,0,14,4,0,0
1155,1,1,3,35,19,651.89,0.5,1,2,0,4,1,2,1,4.38,0,0,0,0,0,148.68,19,5,0,16,7,0,0
1156,2,0,2,30,19,920.38,0.4,3,1,1,6,0,1,1,7.22,0,0,1,0,0,127.44,13,4,0,17,7,0,0
1157,1,0,2,14,11,161.44,0.2,0,0,0,3,0,2,1,3.33,0,0,0,0,0,48.43,8,2,0,6,2,0,0
1158,1,1,2,24,15,406.32,0.3,1,2,0,3,1,2,1,4.33,0,0,0,0,0,93.77,13,2,0,11,4,0,0
1159,1,0,2,14,11,161.44,0.2,0,0,0,3,0,2,1,3.33,0,0,0,0,0,48.43,8,2,0,6,2,0,0
1160,1,1,2,24,15,406.32,0.3,1,2,0,3,1,2,1,4.33,0,0,0,0,0,93.77,13,2,0,11,4,0,0
1161,1,0,2,10,8,75,0.1,0,0,0,3,0,1,1,2.5,0,0,0,0,0,30,5,1,0,5,1,0,0
1162,6,5,16,105,38,10018.77,0.18,1,2,1,17,5,2,1,18.18,0,0,0,0,4,551.3,50,19,2,55,20,1,0
1163,6,0,13,95,38,8071.81,0.17,3,4,0,17,0,1,1,16.19,2,0,1,0,2,498.55,40,12,1,55,17,1,0
1164,1,1,3,28,19,589.75,0.4,1,1,0,4,1,3,1,4.96,0,0,0,0,0,118.94,17,6,0,11,6,0,0
1165,3,3,8,66,26,2343.95,0.1,1,2,1,10,3,2,1,7.56,0,0,0,0,1,310.23,34,14,1,32,14,0,0
1166,1,0,3,20,14,380.74,0.3,2,1,1,4,0,1,1,5,0,0,1,0,0,76.15,10,3,0,10,4,0,0
1167,1,0,7,47,18,1175.92,0.7,2,0,0,8,0,2,1,6,0,0,0,0,0,195.99,24,10,0,23,5,0,0
1168,2,1,2,27,19,946.23,0.4,3,1,0,6,1,1,1,8.25,0,0,1,0,0,114.69,12,6,0,15,6,0,0
1169,1,0,2,21,15,328.18,0.3,1,1,0,3,0,2,1,4,0,0,0,0,0,82.4,12,4,0,9,4,0,0
1170,1,0,2,20,14,253.82,0.3,0,0,0,3,0,3,1,3.33,0,0,0,0,0,76.15,12,3,0,8,4,0,0
1171,3,1,9,62,29,3915.53,0.1,1,2,1,8,1,3,1,13,0,0,0,0,1,301.19,32,8,1,30,11,1,0
1172,1,0,2,14,11,161.44,0.2,0,0,0,3,0,2,1,3.33,0,0,0,0,0,48.43,8,2,0,6,2,0,0
1173,1,1,2,24,15,406.32,0.3,1,2,0,3,1,2,1,4.33,0,0,0,0,0,93.77,13,2,0,11,4,0,0
1174,1,0,1,5,5,17.41,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1175,1,0,1,6,5,20.9,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,13.93,2,0,0,4,0,0,0
1176,1,0,2,23,13,437.71,0.3,0,0,0,3,0,3,1,5.14,0,0,0,0,0,85.11,12,3,0,11,4,0,0
1178,1,0,1,5,5,17.41,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1179,1,0,1,6,5,20.9,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,13.93,2,0,0,4,0,0,0
1180,1,0,2,11,9,83.69,0.1,1,0,1,3,0,1,1,2.4,0,0,0,0,0,34.87,6,1,0,5,1,0,0
1181,1,0,2,14,12,175.66,0.2,3,1,0,3,0,1,1,3.5,0,0,1,0,0,50.19,7,1,0,7,3,0,0
1182,1,1,2,24,15,406.32,0.3,1,2,0,3,1,2,1,4.33,0,0,0,0,0,93.77,13,2,0,11,4,0,0
1183,1,0,6,41,18,1367.74,0.6,0,0,0,5,0,3,1,8,0,0,0,0,0,170.97,20,7,0,21,8,0,0
1184,1,0,1,5,5,17.41,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1185,1,0,1,6,5,20.9,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,13.93,2,0,0,4,0,0,0
1186,1,1,2,29,18,513.94,0.4,1,1,1,3,1,3,1,4.25,0,0,0,0,0,120.93,17,3,0,12,6,0,0
1187,1,0,2,23,13,437.71,0.3,0,0,0,3,0,3,1,5.14,0,0,0,0,0,85.11,12,3,0,11,4,0,0
1189,1,0,1,5,5,17.41,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1190,1,0,1,6,5,20.9,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,13.93,2,0,0,4,0,0,0
1191,1,1,2,24,15,406.32,0.3,1,2,0,3,1,2,1,4.33,0,0,0,0,0,93.77,13,2,0,11,4,0,0
1192,1,0,2,14,12,175.66,0.2,3,1,0,3,0,1,1,3.5,0,0,1,0,0,50.19,7,1,0,7,3,0,0
1193,1,0,3,28,19,589.75,0.4,1,1,0,4,0,3,1,4.96,0,0,0,0,0,118.94,17,6,0,11,6,0,0
1194,1,0,3,20,14,380.74,0.3,2,1,1,4,0,1,1,5,0,0,1,0,0,76.15,10,3,0,10,4,0,0
1195,3,3,9,70,27,2522.59,0.11,1,2,1,11,3,2,1,7.58,0,0,0,0,1,332.84,36,15,1,34,14,0,0
1196,1,0,2,14,11,161.44,0.2,0,0,0,3,0,2,1,3.33,0,0,0,0,0,48.43,8,2,0,6,2,0,0
1197,1,1,3,27,16,486,0.4,1,2,1,4,1,2,1,4.5,0,0,0,0,0,108,15,3,0,12,5,0,0
1198,2,1,3,47,22,2640.88,0.7,3,1,1,7,1,1,1,12.6,0,0,1,0,0,209.59,21,7,0,26,8,0,0
1199,6,0,13,110,35,11640.77,0.19,3,2,2,15,0,1,1,20.63,1,0,1,0,1,564.22,49,14,1,61,21,1,0
1200,5,5,12,92,34,8129.23,0.16,1,2,0,12,5,2,1,17.37,0,0,0,0,2,468.5,44,16,2,48,17,1,0
1201,1,0,2,10,8,75,0.1,1,0,0,3,0,1,1,2.5,0,0,0,0,0,30,5,1,0,5,1,0,0
1202,7,4,23,145,38,15758,0.25,1,2,3,22,4,2,1,20.71,0,0,0,0,4,760.95,71,25,2,74,29,2,0
1203,1,0,3,20,14,380.74,0.3,2,1,1,4,0,1,1,5,0,0,1,0,0,76.15,10,3,0,10,4,0,0
1204,1,0,5,34,15,797.1,0.4,2,0,0,6,0,2,1,6,0,0,0,0,0,132.83,18,7,0,16,4,0,0
1205,1,0,2,14,12,210.8,0.2,1,1,0,3,0,0,1,4.2,0,0,1,0,0,50.19,6,1,0,8,3,0,0
1206,1,0,2,17,12,304.72,0.2,1,0,0,3,0,2,1,5,0,0,0,0,0,60.94,10,4,0,7,3,0,0
1207,1,0,2,18,13,208.15,0.2,0,0,0,3,0,2,1,3.12,0,0,0,0,0,66.61,10,3,0,8,4,0,0
1208,3,1,9,62,29,3915.53,0.1,1,2,1,8,1,3,1,13,0,0,0,0,1,301.19,32,8,1,30,11,1,0
1209,8,3,19,155,41,22949.8,0.28,5,3,1,23,3,1,1,27.64,2,0,1,2,4,830.42,64,27,2,91,30,1,0
1210,2,2,3,41,22,1329.8,0.6,1,2,1,7,2,2,1,7.27,0,0,0,0,0,182.84,21,6,0,20,7,0,0
1211,1,0,2,20,12,281.68,0.2,0,0,0,3,0,3,1,3.93,0,0,0,0,0,71.7,11,3,0,9,3,0,0
1212,2,1,10,58,25,3068.59,0.9,1,2,0,9,1,2,1,11.39,0,0,0,0,1,269.34,29,8,1,29,9,1,0
1213,1,0,2,20,12,281.68,0.2,0,0,0,3,0,3,1,3.93,0,0,0,0,0,71.7,11,3,0,9,3,0,0
1214,2,1,10,58,25,3068.59,0.9,1,2,0,9,1,2,1,11.39,0,0,0,0,1,269.34,29,8,1,29,9,1,0
1215,1,0,2,20,12,281.68,0.2,0,0,0,3,0,3,1,3.93,0,0,0,0,0,71.7,11,3,0,9,3,0,0
1216,2,1,10,58,25,3068.59,0.9,1,2,0,9,1,2,1,11.39,0,0,0,0,1,269.34,29,8,1,29,9,1,0
1217,1,0,3,44,22,1494.25,0.7,0,0,0,4,0,3,1,7.62,0,0,0,2,0,196.21,22,7,0,22,8,0,0
1218,2,2,10,58,25,3068.59,0.9,1,2,0,9,2,2,1,11.39,0,0,0,0,1,269.34,29,8,1,29,9,1,0
1219,4,1,11,86,29,5455.8,0.14,4,7,0,14,1,1,1,13.6,0,0,1,2,4,417.79,37,18,2,49,17,0,0
1220,1,0,3,25,15,555.51,0.3,0,0,0,4,0,3,1,5.69,0,0,0,0,0,97.67,13,4,0,12,3,0,0
1221,1,0,2,11,9,83.69,0.1,1,0,1,3,0,1,1,2.4,0,0,0,0,0,34.87,6,1,0,5,1,0,0
1222,1,3,2,10,10,83.5,0.1,1,0,0,3,1,1,1,2.5,0,0,0,0,0,33.22,5,0,0,5,1,0,0
1223,2,2,6,51,24,1920.77,0.8,4,5,0,8,2,1,1,8.21,1,0,1,1,1,233.83,23,8,1,28,10,0,0
1224,2,1,10,58,25,3068.59,0.9,1,2,0,9,1,2,1,11.39,0,0,0,0,1,269.34,29,8,1,29,9,1,0
1225,1,0,2,16,13,185.2,0.2,0,0,0,3,0,2,1,3.12,0,0,0,0,0,59.21,10,2,0,6,4,0,0
1227,1,1,3,27,16,486,0.4,1,2,1,4,1,2,1,4.5,0,0,0,0,0,108,15,3,0,12,5,0,0
1228,1,0,2,14,12,175.66,0.2,3,1,0,3,0,1,1,3.5,0,0,1,0,0,50.19,7,1,0,7,3,0,0
1229,1,0,3,18,14,257,0.2,0,0,0,4,0,2,1,3.75,0,0,0,0,0,68.53,10,3,0,8,3,0,0
1230,1,0,2,11,9,83.69,0.1,1,0,1,3,0,1,1,2.4,0,0,0,0,0,34.87,6,1,0,5,1,0,0
1231,1,3,2,10,10,83.5,0.1,1,0,0,3,1,1,1,2.5,0,0,0,0,0,33.22,5,0,0,5,1,0,0
1232,2,0,5,27,18,774.4,0.4,3,1,1,7,0,1,1,6.88,0,0,1,0,2,112.59,11,4,1,16,6,0,0
1233,1,1,2,24,15,406.32,0.3,1,2,0,3,1,2,1,4.33,0,0,0,0,0,93.77,13,2,0,11,4,0,0
1234,2,0,5,31,20,1004.85,0.4,4,1,1,7,0,2,1,7.5,0,0,1,0,2,133.98,15,6,1,16,8,0,0
1235,1,0,3,16,13,203,0.2,1,0,0,4,0,1,1,3.43,0,0,0,0,0,59.21,8,2,0,8,2,0,0
1236,1,0,2,14,12,175.66,0.2,1,0,0,3,0,0,1,3.5,0,0,0,1,0,50.19,5,3,0,9,2,0,0
1237,22,19,52,427,78,90474.56,0.89,11,5,1,78,15,0,1,33.71,10,0,0,8,22,2683.87,183,98,5,244,75,0,1
1238,49,7,178,1332,162,680188.27,3.26,26,23,6,259,7,1,1,69.57,28,0,0,8,40,9776.68,588,325,4,744,270,1,1
1239,1,0,2,10,10,83.5,0.1,1,0,0,3,0,1,1,2.5,0,0,0,0,0,33.22,5,1,0,5,1,0,0
1241,2,6,9,61,32,2817.24,0.1,0,0,3,11,3,0,1,9.24,0,0,0,0,1,305,27,9,1,34,11,0,0
1242,4,8,29,193,50,21007.24,0.36,3,2,4,34,5,0,1,19.29,3,0,0,0,5,1089.26,90,39,2,103,35,0,1
1243,6,19,32,255,56,44866.53,0.49,3,2,2,37,15,0,1,30.3,10,0,0,1,5,1480.88,118,47,3,137,43,0,0
1244,14,0,39,418,79,91588.28,0.88,5,3,1,62,0,0,1,34.76,8,0,0,1,13,2634.98,192,93,5,226,85,1,0
1245,4,0,12,125,49,9868.28,0.23,3,2,2,22,0,0,1,14.6,3,0,0,0,3,701.84,58,26,3,67,23,0,0
1246,18,29,75,608,101,216606.3,1.35,8,6,6,96,26,0,1,53.51,14,0,0,1,13,4048.19,279,119,4,329,100,2,0
1247,2,5,5,38,22,1355.67,0.6,0,0,1,7,2,0,1,8,0,0,0,0,1,169.46,16,5,1,22,4,0,0
1248,1,13,5,33,18,825.65,0.5,0,0,0,6,3,0,1,6,0,0,0,0,0,137.61,15,4,0,18,4,0,0
1249,5,9,12,103,40,8039.66,0.18,2,0,2,19,5,0,1,14.67,1,0,0,2,3,548.16,44,18,2,59,16,0,0
1250,5,9,12,98,37,6525.86,0.17,2,0,2,18,4,0,1,12.78,1,0,0,2,3,510.53,42,17,2,56,17,0,1
1251,18,25,20,176,46,13480.44,0.32,0,0,14,25,14,0,1,13.87,0,0,0,0,4,972.15,52,12,2,124,18,0,0
1252,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1253,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1254,1,1,1,5,5,17.41,0,0,0,0,2,1,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1255,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1256,1,0,3,18,12,230.46,0.2,0,0,2,4,0,1,1,3.57,0,0,0,0,0,64.53,10,4,0,8,3,0,0
1257,3,0,7,50,27,2282.35,0.8,1,0,2,10,0,1,1,9.6,1,0,0,1,2,237.74,24,13,2,26,8,0,0
1258,2,0,4,22,14,376.93,0.3,0,0,3,6,0,0,1,4.5,0,0,0,0,1,83.76,9,4,1,13,3,0,0
1259,1,0,8,60,26,3102.29,0.9,2,1,1,9,0,0,1,11,3,0,0,0,0,282.3,30,16,0,30,9,0,0
1260,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1261,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1262,1,0,4,18,11,207.57,0.2,0,0,2,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1263,7,2,21,211,64,25924.87,0.42,5,2,3,34,2,0,1,20.48,6,0,0,1,6,1266,97,39,5,114,33,0,0
1264,5,2,16,155,58,14709.39,0.3,4,1,5,27,2,0,1,16.2,4,0,0,1,4,907.99,72,28,4,83,20,0,0
1265,1,0,4,18,11,207.57,0.2,0,0,3,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1266,1,0,3,17,12,195.89,0.2,0,0,2,4,0,1,1,3.21,0,0,0,0,0,60.94,9,3,0,8,2,0,0
1267,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1268,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1269,3,3,7,37,21,1034.19,0.5,0,0,2,10,3,0,1,6.36,0,0,0,0,2,162.52,14,4,1,23,4,0,0
1270,2,0,5,27,16,504,0.4,0,0,4,7,0,0,1,4.67,0,0,0,0,1,108,12,6,1,15,5,0,0
1271,1,1,2,9,8,54,0.1,0,0,1,3,1,0,1,2,0,0,0,0,0,27,4,0,0,5,1,0,0
1272,1,0,4,18,11,207.57,0.2,0,0,2,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1273,5,26,28,209,70,28209.7,0.43,4,1,2,36,26,0,1,22.2,6,0,0,2,5,1281.2,90,52,4,119,37,0,0
1274,2,0,6,42,26,1520.12,0.7,1,0,2,8,0,1,1,7.7,1,0,0,1,1,197.42,21,10,1,21,6,0,0
1275,3,1,7,62,31,4586.93,0.1,1,0,1,10,1,0,1,14.93,1,0,0,1,2,307.16,28,13,1,34,6,0,0
1276,1,0,4,24,14,355.35,0.3,0,0,2,5,0,2,1,3.89,0,0,0,0,0,91.38,14,5,0,10,4,0,0
1277,2,8,7,43,23,1421.44,0.6,0,0,3,9,4,1,1,7.31,0,0,0,0,2,194.51,19,6,1,24,5,0,0
1278,2,0,4,19,12,238.4,0.2,0,0,3,6,0,0,1,3.5,0,0,0,0,1,68.11,7,2,1,12,2,0,0
1279,2,3,16,110,53,8262.93,0.21,2,1,4,23,2,0,1,13.11,4,0,0,1,2,630.7,51,27,1,59,22,0,0
1280,1,0,7,50,25,1857.54,0.8,1,0,3,8,0,0,1,8,2,0,0,0,0,232.19,24,11,0,26,10,0,1
1281,1,0,3,14,10,139.52,0.2,0,0,2,4,0,0,1,3,0,0,0,0,0,46.51,6,2,0,8,1,0,0
1282,2,0,6,42,26,1520.12,0.7,1,0,2,8,0,1,1,7.7,1,0,0,1,1,197.42,21,10,1,21,6,0,0
1283,5,2,15,152,56,14634.53,0.29,5,1,3,26,2,0,1,16.58,5,0,0,1,4,882.72,70,27,4,82,20,0,0
1284,1,0,4,18,11,207.57,0.2,0,0,3,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1285,1,0,4,18,11,207.57,0.2,0,0,2,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1286,1,0,4,18,11,207.57,0.2,0,0,2,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1287,1,0,4,18,11,207.57,0.2,0,0,2,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1288,7,15,63,451,76,104158.53,0.94,6,3,4,72,15,0,1,36.96,9,0,0,4,10,2817.82,207,108,4,244,83,0,0
