@relation imbalance-defects-randomized-train

@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
3,8,8,59,28,2871.79,0.9,0,0,0,11,2,0,1,10.12,2,0,0,0,2,283.63,27,13,2,32,13,0,0
6,3,18,241,49,54294.95,0.45,0,0,0,34,3,0,1,40.12,11,0,0,2,2,1353.15,107,53,1,134,56,2,0
1,3,3,16,13,177.62,0.2,0,0,2,4,2,0,1,3,0,0,0,0,0,59.21,7,1,0,9,2,0,0
1,7,1,4,4,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
1,9,1,5,5,17.41,0,1,0,0,1,1,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1,4,2,9,9,85.59,0.1,1,0,0,3,2,0,1,3,0,0,0,0,0,28.53,3,0,0,6,1,0,0
1,4,2,10,10,83.5,0.1,1,0,0,3,1,1,1,2.5,0,0,0,0,0,33.22,5,0,0,5,1,0,0
1,0,2,11,9,139.48,0.1,1,1,0,3,0,0,1,4,0,0,0,0,0,34.87,4,1,0,7,1,0,0
1,17,2,20,15,446.5,0.3,1,1,1,3,1,2,2,5.71,0,0,0,0,0,78.14,10,2,0,10,4,0,0
1,17,2,12,10,119.59,0.1,0,0,1,3,1,0,1,3,0,0,0,0,0,39.86,4,1,0,8,2,0,0
1,4,2,17,14,242.72,0.2,2,1,0,3,2,2,1,3.75,0,0,0,0,0,64.73,10,2,0,7,3,0,0
1,0,1,9,9,42.79,0.1,0,0,0,1,0,2,0,1.5,0,0,0,0,0,28.53,6,0,0,3,0,0,0
1,3,3,21,15,358.95,0.3,0,0,1,4,1,0,0,4.38,1,0,0,0,0,82.4,10,2,0,11,3,0,0
1,1,3,19,14,244.15,0.2,0,0,0,4,1,0,1,3.38,0,0,0,0,0,72.34,9,3,0,10,2,0,0
1,0,2,12,11,149.45,0.1,1,0,0,3,0,1,1,3.6,0,0,0,0,0,41.51,6,2,0,6,2,0,0
1,1,2,26,17,446.35,0.4,1,0,0,3,1,0,1,4.2,0,0,0,0,0,106.27,12,3,0,14,1,0,0
1,11,5,32,17,677.78,0.4,2,0,2,6,1,1,1,5.18,1,0,0,0,0,130.8,19,9,0,13,8,0,0
3,7,7,57,28,2671.69,0.9,6,3,1,10,3,1,1,9.75,1,1,1,1,2,274.2,26,8,2,31,13,0,0
1,0,1,8,7,59.89,0.1,1,0,0,1,0,1,2,2.67,0,0,0,0,0,22.46,4,0,0,4,0,0,0
1,5,1,4,4,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
1,10,1,6,6,15.51,0.1,1,0,0,1,1,1,0,1,0,0,0,0,0,15.51,4,0,0,2,0,0,0
9,0,15,107,35,10398.95,0.18,4,0,0,24,0,2,1,18.95,1,0,0,0,3,548.83,45,23,1,62,14,0,0
1,0,3,28,17,560.8,0.4,1,0,0,4,0,2,1,4.9,0,0,0,2,0,114.45,14,4,0,14,4,0,0
1,3,3,17,10,188.24,0.2,0,0,1,4,1,1,1,3.33,0,0,0,0,0,56.47,10,4,0,7,4,0,0
1,0,1,6,6,15.51,0.1,0,0,0,1,0,1,0,1,0,0,0,0,0,15.51,4,0,0,2,0,0,0
1,0,2,11,10,109.62,0.1,0,1,0,3,0,0,1,3,0,0,0,0,0,36.54,4,1,0,7,1,0,0
12,3,30,250,77,43686.73,0.52,5,5,1,53,3,3,1,27.88,4,0,0,2,4,1566.7,116,48,4,134,49,2,1
15,2,47,392,59,150059.3,0.77,3,3,0,58,2,3,2,65.7,10,0,0,0,18,2306,177,82,7,215,62,1,0
1,2,2,14,13,207.22,0.2,0,0,0,3,1,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
1,3,2,7,6,36.19,0.1,0,0,0,3,1,0,1,2,0,0,0,0,0,18.9,2,0,0,5,0,0,0
1,4,2,14,12,245.93,0.2,0,0,0,3,1,1,1,4.9,0,0,0,0,0,50.19,7,2,0,7,1,0,0
1,3,2,14,12,175.66,0.2,3,1,0,3,1,1,1,3.5,0,0,0,0,0,50.19,7,1,0,7,3,0,0
1,6,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
3,0,6,74,26,6087.7,0.12,2,1,0,8,0,1,1,17.5,0,0,0,0,2,347.83,35,11,1,39,13,0,0
1,4,1,31,18,406.27,0.4,0,0,0,12,2,10,1,3.14,0,0,0,0,0,129.27,22,0,0,9,0,0,0
7,26,56,421,60,82893.36,0.83,2,5,0,57,26,0,1,33.33,3,0,0,0,7,2486.8,200,74,2,221,61,2,0
1,1,8,48,18,1401.9,0.7,1,1,0,9,1,0,1,7,0,0,0,0,0,200.16,22,7,0,26,7,0,0
4,9,18,146,48,13157.66,0.27,1,4,4,22,9,2,1,16.14,3,0,0,2,3,815.4,71,30,2,75,26,0,0
14,16,57,363,58,143402.28,0.71,1,5,0,68,16,4,1,67.44,6,0,0,0,12,2126.45,166,119,3,197,77,1,0
1,3,2,11,11,133.19,0.1,0,0,0,3,1,0,1,3.5,0,0,0,0,0,38.5,4,1,0,7,1,0,0
6,3,19,159,47,12832.8,0.29,4,11,2,32,3,3,1,14.53,5,0,0,0,6,883.18,76,35,2,83,29,0,0
4,60,14,148,33,22554.28,0.25,1,1,0,23,1,5,3,30.21,4,0,0,0,0,746.57,82,38,0,66,40,0,0
1,7,3,21,15,355.53,0.3,3,0,0,4,1,3,1,4.33,0,0,0,0,0,82.4,13,4,0,8,3,0,0
3,2,9,56,32,2016,0.9,1,2,2,11,2,0,1,7.2,0,0,0,0,1,280,24,12,1,32,8,0,0
1,0,2,14,13,207.22,0.2,0,0,0,3,0,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
1,0,3,21,14,299.83,0.3,0,0,1,4,0,0,1,3.75,0,0,0,0,0,79.95,10,2,0,11,2,0,0
7,6,18,118,32,11242.78,0.2,2,5,0,25,4,1,1,19.6,4,0,0,0,6,590,49,19,3,69,21,1,0
4,1,7,44,26,1930.31,0.7,2,1,0,11,1,0,1,9.33,0,0,1,0,4,206.82,16,6,2,28,6,0,0
1,0,3,31,22,645.13,0.5,2,1,0,4,0,4,1,4.67,0,0,0,0,0,138.24,20,7,0,11,7,0,0
4,17,19,111,40,8906.45,0.2,2,1,6,23,7,2,1,15.8,4,0,0,1,3,590.73,56,26,2,55,23,0,0
6,1,14,107,37,14415.28,0.19,1,2,1,18,1,1,1,25.86,4,0,0,0,2,557.41,49,20,2,58,21,1,0
1,3,2,8,8,60,0.1,1,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
1,4,2,11,11,114.16,0.1,0,0,0,3,2,0,0,3,0,0,0,0,0,38.5,5,1,0,6,1,0,0
3,6,16,189,49,30579.67,0.35,5,3,1,29,6,0,1,28.82,4,0,0,2,4,1061.18,91,37,2,98,36,0,0
1,0,1,6,6,15.51,0.1,0,0,0,1,0,1,0,1,0,0,0,0,0,15.51,4,0,0,2,0,0,0
2,0,3,35,21,1187.92,0.5,3,2,0,7,0,2,1,7.73,0,0,0,0,0,153.73,17,4,0,18,9,0,0
1,0,5,22,13,348.9,0.3,0,0,0,6,0,0,2,4.29,0,0,0,0,0,81.41,10,4,0,12,4,0,0
1,1,2,14,11,211.89,0.2,1,1,1,3,1,0,1,4.38,0,0,0,0,0,48.43,5,0,0,9,2,0,0
1,3,2,18,12,290.38,0.2,1,0,1,3,1,1,1,4.5,0,0,0,1,0,64.53,9,2,0,9,2,0,0
1,9,3,14,9,138.68,0.1,1,0,2,4,2,0,1,3.12,0,0,0,1,0,44.38,5,1,0,9,1,0,0
10,1,28,172,34,24501.22,0.29,1,5,1,29,1,2,1,28,0,0,0,0,9,875.4,80,28,3,92,33,3,0
1,0,2,12,12,150.57,0.1,0,0,0,3,0,0,1,3.5,0,0,0,0,0,43.2,5,1,0,7,1,0,0
3,10,6,42,23,1554.46,0.6,4,4,0,10,3,0,2,8.18,1,0,1,0,3,189.99,15,2,2,27,4,0,0
1,4,1,34,18,445.59,0.5,0,0,0,12,2,10,1,3.14,0,0,0,0,0,141.78,22,0,0,12,0,0,0
3,1,8,48,30,1801.12,0.8,1,1,1,10,1,0,2,7.65,0,0,0,0,1,235.53,20,11,1,28,7,0,0
2,5,6,48,25,1504.61,0.7,3,4,2,7,3,2,1,6.75,1,0,0,0,0,222.91,24,9,0,24,8,0,0
1,2,2,14,13,207.22,0.2,0,0,0,3,1,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
9,3,27,188,50,33807.9,0.35,4,3,0,29,3,0,1,31.86,7,0,0,0,5,1061.4,88,34,2,100,37,2,0
2,0,5,39,18,894.45,0.5,2,4,0,9,0,2,1,5.5,0,0,0,0,1,162.63,22,10,1,17,9,0,0
1,6,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
3,0,7,52,27,3195.28,0.8,0,0,0,10,0,1,1,12.92,2,0,0,0,1,247.25,24,7,1,28,9,1,0
1,0,3,14,11,174.36,0.2,0,0,1,4,0,0,1,3.6,0,0,0,0,0,48.43,6,2,0,8,1,0,0
1,1,1,5,5,17.41,0,0,0,0,2,1,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1,6,4,24,18,445.8,0.3,3,0,0,4,1,3,1,4.45,0,0,0,0,0,100.8,14,4,0,10,5,0,0
1,8,2,9,7,47.37,0.1,1,0,0,3,1,1,0,1.88,0,0,0,0,0,25.27,5,1,0,4,1,0,0
1,4,2,8,8,60,0.1,0,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,1,0,5,1,0,0
4,10,13,79,31,8554.48,0.13,1,1,0,14,2,1,1,21.86,2,0,0,0,2,391.38,36,11,2,43,16,1,0
8,9,30,223,71,25054.31,0.46,13,18,0,32,9,3,2,18.27,10,1,0,1,8,1371.39,100,28,4,123,36,2,0
1,0,2,33,19,450.58,0.5,2,1,1,3,0,2,1,3.21,0,0,0,0,0,140.18,18,2,0,15,2,0,0
3,6,16,130,44,9375.25,0.24,2,8,1,29,3,3,1,13.21,1,0,0,0,4,709.73,63,35,2,67,23,0,0
2,7,6,52,28,1449.9,0.8,2,4,0,11,1,3,1,5.8,1,0,0,0,0,249.98,29,11,0,23,8,0,0
1,0,2,8,8,60,0.1,0,0,0,3,0,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
1,4,1,7,7,29.48,0.1,0,0,0,2,2,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,0
5,8,17,151,45,14512.22,0.28,5,6,3,22,6,2,0,17.5,4,0,0,3,5,829.27,70,24,2,81,24,0,0
1,7,2,11,11,133.19,0.1,0,0,0,3,1,0,1,3.5,0,0,0,0,0,38.5,4,1,0,7,1,0,0
1,0,2,32,21,674.66,0.5,2,0,1,16,0,6,1,4.8,0,0,0,0,0,140.55,24,7,0,8,7,0,0
4,1,12,69,37,3172.56,0.12,2,2,2,15,1,1,2,8.83,0,0,0,0,3,359.45,29,16,2,40,9,0,0
4,3,15,101,37,10062.71,0.18,3,4,2,16,2,0,1,19.12,3,0,0,0,3,526.15,45,13,3,56,15,1,0
6,6,10,79,38,5125.79,0.14,4,2,3,16,6,1,0,12.36,2,1,0,0,0,414.59,34,15,0,45,15,0,0
3,0,10,80,33,5798.4,0.13,5,3,0,13,0,2,1,14.37,3,0,0,0,3,403.55,39,14,2,41,17,0,0
2,6,4,30,19,648.77,0.4,2,1,0,6,1,1,0,5.9,0,0,0,0,1,127.44,14,5,1,16,4,0,0
1,2,2,14,13,207.22,0.2,0,0,0,3,1,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
5,4,14,70,26,2525.8,0.11,4,0,5,19,2,3,1,7.68,0,0,0,2,6,329.3,29,14,2,41,14,0,0
5,4,14,70,26,2525.8,0.11,4,0,5,19,2,3,1,7.68,0,0,0,2,6,329.3,29,14,2,41,14,0,0
5,1,11,67,35,3608.45,0.11,1,1,1,15,1,0,2,10.5,0,0,0,0,2,343.66,28,17,1,39,11,0,0
6,9,21,178,54,21255.68,0.34,5,3,0,37,9,2,1,20.75,2,0,0,0,5,1024.37,83,40,2,95,31,0,0
1,7,3,14,10,325.55,0.2,1,0,0,4,1,0,1,7,0,0,0,0,0,46.51,6,3,0,8,2,0,0
8,9,27,214,38,35048.72,0.37,1,2,1,26,7,2,1,31.21,0,0,0,0,7,1123.6,107,29,2,107,44,3,0
1,0,2,18,14,209.4,0.2,2,0,1,3,0,2,1,3.6,0,0,0,0,0,68.53,11,2,0,7,2,0,0
3,3,7,46,24,1391.99,0.7,1,2,2,9,1,1,1,6.6,0,0,0,1,1,210.91,22,8,1,24,11,0,0
6,6,19,177,61,33400.83,0.35,6,6,0,28,6,1,2,31.82,6,1,1,1,6,1049.74,75,22,2,102,34,1,0
1,6,2,16,12,240.91,0.2,1,1,1,3,2,0,1,4.2,0,0,0,0,0,57.36,6,0,0,10,2,0,0
1,3,2,14,12,210.8,0.2,0,0,1,3,1,0,0,4.2,0,0,0,0,0,50.19,6,1,0,8,1,0,0
2,7,5,31,19,574.63,0.4,1,1,2,8,4,0,1,4.36,0,0,0,1,1,131.69,12,7,1,19,5,0,0
2,0,2,39,25,1069.68,0.6,3,0,1,8,0,1,1,5.91,0,0,0,0,0,181.11,21,8,0,18,8,0,0
1,14,1,8,8,36,0.1,3,0,0,1,1,1,0,1.5,0,1,0,0,0,24,5,0,0,3,0,0,0
3,1,7,75,31,5507.9,0.12,1,2,0,10,1,0,1,14.82,3,0,0,0,0,371.56,36,17,0,39,13,1,0
1,3,2,11,11,133.19,0.1,0,0,0,3,1,0,1,3.5,0,0,0,0,0,38.5,4,1,0,7,1,0,0
2,3,7,41,20,1840.9,0.6,1,2,0,9,1,0,1,10.39,2,0,0,0,1,177.2,17,7,1,24,7,0,0
1,4,3,12,10,79.73,0.1,0,0,1,3,2,0,0,2,0,0,0,0,0,39.86,6,2,0,6,3,0,0
1,0,1,16,15,136.39,0.2,4,0,0,1,0,5,2,2.18,0,0,0,0,0,62.51,12,0,0,4,0,0,0
2,3,6,37,19,1886.8,0.5,2,1,0,7,1,0,1,12,1,0,0,1,1,157.17,14,6,1,23,6,0,0
1,0,2,20,12,281.68,0.2,0,0,0,3,0,3,1,3.93,0,0,0,0,0,71.7,11,3,0,9,3,0,0
1,0,2,8,8,60,0.1,1,0,0,1,0,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
1,0,1,8,7,26.95,0.1,0,0,0,1,0,2,0,1.2,0,0,0,0,0,22.46,6,0,0,2,0,0,0
1,8,2,9,7,47.37,0.1,1,0,0,3,1,1,0,1.88,0,0,0,0,0,25.27,5,1,0,4,1,0,0
3,12,7,57,24,3136.11,0.9,2,1,0,11,1,2,0,12,0,0,1,0,2,261.34,24,9,1,33,8,0,0
1,4,2,8,8,60,0.1,0,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
3,5,6,67,40,3359.98,0.12,7,4,1,12,3,3,1,9.42,1,1,2,0,2,356.57,35,10,1,32,12,0,0
13,15,57,385,86,71140.23,0.82,12,21,3,62,12,2,1,28.75,17,1,0,1,12,2474.11,178,54,4,207,67,4,0
1,0,2,12,11,124.54,0.1,0,0,1,3,0,0,1,3,0,0,0,0,0,41.51,5,1,0,7,2,0,0
4,0,4,52,30,2041.27,0.9,1,1,0,7,0,2,1,8,0,0,0,0,0,255.16,24,10,0,28,8,0,0
1,0,3,23,14,340.55,0.3,2,2,0,4,0,2,1,3.89,0,0,0,0,0,87.57,14,4,0,9,4,0,0
1,0,2,10,10,99.66,0.1,1,0,0,2,0,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
2,5,3,26,18,745.37,0.4,1,1,0,5,2,0,1,6.88,0,0,0,0,0,108.42,11,3,0,15,6,0,0
4,10,13,153,48,16869.47,0.28,2,5,1,30,10,0,1,19.74,1,0,0,0,2,854.5,72,14,1,81,28,1,0
1,14,7,52,18,1680.48,0.7,3,0,0,14,1,6,1,7.75,0,0,0,0,0,216.84,31,12,0,21,6,0,0
9,3,2,139,29,8812.13,0.23,0,1,2,12,1,0,0,13.5,0,0,0,0,0,675.26,58,8,0,81,17,0,0
5,19,19,169,42,28706,0.3,1,4,0,25,19,3,1,31.5,3,0,0,0,3,911.3,84,48,2,85,41,1,0
1,3,1,6,6,31.2,0.1,1,0,0,1,1,0,2,2,0,0,0,0,0,15.51,2,0,0,4,0,0,0
1,9,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
5,4,12,71,31,5111.34,0.12,1,2,1,14,2,1,1,14.53,1,0,0,0,4,351.75,31,10,3,40,13,1,0
6,7,22,167,44,19015.98,0.3,3,5,1,25,7,0,1,20.86,3,0,0,1,7,911.73,73,17,2,94,25,2,0
9,5,10,146,50,19989.18,0.27,4,2,3,21,5,1,0,24.26,2,1,0,0,0,824,67,29,0,79,26,0,0
1,0,4,18,11,207.57,0.2,0,0,2,5,0,0,1,3.33,0,0,0,0,0,62.27,8,3,0,10,2,0,0
1,4,2,17,14,242.72,0.2,2,1,0,3,2,2,1,3.75,0,0,0,0,0,64.73,10,2,0,7,3,0,0
1,11,16,126,39,5893.75,0.22,3,4,3,25,5,1,1,8.85,2,0,0,3,0,665.96,59,31,0,67,27,0,0
1,3,4,23,15,606.54,0.3,1,2,1,5,1,0,1,6.75,1,0,0,0,0,89.86,9,2,0,14,3,0,0
1,3,2,9,9,85.59,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,28.53,3,1,0,6,1,0,0
1,0,2,10,9,79.25,0.1,0,0,1,3,0,0,1,2.5,0,0,0,0,0,31.7,4,0,0,6,0,0,0
2,0,4,31,18,904.87,0.4,2,1,1,6,0,1,1,7,0,0,0,0,1,129.27,14,3,1,17,3,0,0
16,8,64,496,106,124722.19,1.11,6,24,12,73,8,0,1,37.38,22,0,1,2,19,3337.5,230,79,5,266,107,2,0
1,0,4,33,16,673.2,0.4,1,0,0,5,0,1,1,5.1,0,0,0,0,0,132,17,6,0,16,3,0,0
1,4,2,15,13,226.65,0.2,0,0,0,3,1,1,1,4.8,0,0,0,0,0,55.51,7,2,0,8,2,0,0
1,4,2,11,11,114.16,0.1,0,0,0,3,2,0,0,3,0,0,0,0,0,38.5,5,1,0,6,1,0,0
3,0,8,54,28,3149.78,0.9,3,2,0,8,0,3,1,12.13,0,0,0,0,2,259.6,28,8,2,26,10,1,0
1,1,4,34,18,673.44,0.5,1,4,0,5,1,2,1,4.75,0,0,0,0,0,141.78,19,5,0,15,7,0,0
1,1,2,18,15,246.13,0.2,2,2,0,3,1,0,1,3.5,0,0,1,0,0,70.32,8,0,0,10,5,0,0
1,0,1,6,6,15.51,0.1,0,0,0,1,0,1,0,1,0,0,0,0,0,15.51,4,0,0,2,0,0,0
4,4,13,82,33,5638.57,0.14,3,3,0,14,1,0,0,13.63,2,1,0,1,4,413.64,37,12,3,45,10,1,0
1,5,2,12,11,121.8,0.1,0,0,0,3,1,1,0,2.92,0,0,0,0,0,41.51,7,2,0,5,1,0,0
5,5,26,180,63,24745.94,0.36,3,1,4,36,4,0,1,23,6,0,0,2,5,1075.91,80,41,3,100,33,0,0
1,0,2,12,11,124.54,0.1,1,0,0,3,0,1,1,3,0,0,0,0,0,41.51,5,1,0,7,1,0,0
34,39,134,1014,79,365259.7,2.13,1,1,5,171,33,1,1,57.14,19,0,0,0,24,6392.3,450,205,2,564,200,0,0
2,3,9,52,21,3502.14,0.8,1,2,0,8,1,0,1,15.33,2,0,0,1,1,228.4,23,8,1,29,9,1,0
1,3,2,11,11,114.16,0.1,0,0,0,3,1,0,0,3,0,0,0,0,0,38.5,5,1,0,6,1,0,0
4,3,9,57,24,4169.61,0.9,0,0,0,9,1,3,1,15.95,0,0,0,0,2,261.34,27,8,2,30,10,1,0
1,4,1,7,7,29.48,0.1,0,0,0,2,2,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,0
1,2,2,10,9,95.1,0.1,0,0,1,3,1,0,1,3,0,0,0,0,0,31.7,3,0,0,7,1,0,0
1,9,3,16,11,290.59,0.2,0,0,0,5,3,0,1,5.25,0,0,0,0,1,55.35,6,2,1,10,1,0,0
4,0,12,69,29,4259.2,0.11,2,3,0,12,0,2,1,12.71,1,0,0,0,2,335.2,36,10,2,33,14,1,0
1,4,2,17,14,242.72,0.2,2,1,0,3,2,2,1,3.75,0,0,0,0,0,64.73,10,2,0,7,3,0,0
1,5,1,4,4,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
4,0,9,71,33,6278.85,0.12,3,0,0,9,0,1,1,17.53,1,0,0,0,2,358.15,33,9,2,38,9,1,0
1,0,2,13,13,144.32,0.2,1,0,0,3,0,2,1,3,0,0,0,0,0,48.11,7,0,0,6,1,0,0
1,3,2,8,8,60,0.1,0,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
4,0,8,66,32,4367.65,0.11,1,2,0,10,0,1,1,13.24,3,0,0,0,1,330,30,8,1,36,12,1,0
1,3,2,10,10,99.66,0.1,0,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
1,1,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
1,4,2,8,8,60,0.1,0,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,1,0,5,1,0,0
2,0,7,38,20,2287.53,0.5,2,0,0,9,0,0,2,13.93,1,0,0,1,1,164.23,15,7,1,23,6,0,0
1,0,1,12,10,106.3,0.1,2,0,0,1,0,3,2,2.67,0,0,0,0,0,39.86,8,0,0,4,0,0,0
3,3,11,75,30,4830.22,0.12,5,3,2,13,1,0,1,13.12,3,1,0,0,3,368.2,30,7,1,45,15,0,0
1,3,3,24,16,373.33,0.3,2,2,1,4,1,0,1,3.89,0,0,0,0,0,96,10,2,0,14,3,0,0
1,10,2,21,16,210,0.3,2,0,0,3,1,1,0,2.5,0,0,0,0,0,84,11,0,0,10,1,0,1
1,0,2,35,24,1154.18,0.5,2,2,1,5,0,1,1,7.19,0,0,0,0,0,160.47,17,3,0,18,6,0,0
1,4,2,13,11,188.88,0.1,1,0,0,3,1,1,1,4.2,0,0,0,0,0,44.97,7,2,0,6,1,0,0
1,4,1,43,21,622.16,0.6,0,0,0,15,2,13,1,3.29,0,0,0,0,0,188.87,28,0,0,15,0,0,0
2,1,8,64,28,2092.16,0.1,1,4,2,10,1,2,1,6.8,0,0,0,0,1,307.67,34,13,1,30,14,0,0
1,7,1,5,5,17.41,0,0,0,0,1,1,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
5,4,10,54,21,1386.62,0.8,2,0,5,15,2,1,1,5.85,0,0,0,0,4,237.19,19,10,1,35,10,0,0
1,4,2,8,8,60,0.1,1,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,1,0,5,1,0,0
