@relation 2.a.ROS

@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
2,0,7,35,20,1210.14,0.5,0,0,0,5,0,0,1,8,0,0,0,0,0,151.27,16,1,0,19,5,1,0
1,3,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
1,7,2,9,7,47.37,0.1,1,0,0,3,1,1,0,1.88,0,0,0,0,0,25.27,5,1,0,4,1,0,0
1,1,5,35,16,840,0.5,1,2,2,6,1,2,1,6,0,0,0,0,0,140,20,7,0,15,9,0,0
8,1,21,126,31,6384.16,0.21,3,8,0,29,1,4,1,10.23,0,0,0,0,12,624.23,50,25,3,76,15,0,1
3,1,11,103,40,7526.64,0.18,2,4,1,16,1,1,1,13.73,3,0,0,0,0,548.16,51,18,0,52,19,0,1
3,6,8,51,21,2587.29,0.7,2,1,2,12,2,0,1,11.55,0,0,0,0,3,224.1,21,7,3,30,8,0,0
1,0,2,14,13,207.22,0.2,0,0,0,3,0,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
2,3,4,28,17,772.53,0.4,1,0,1,6,1,0,1,6.75,0,0,0,0,1,114.45,12,4,1,16,4,0,0
4,0,12,103,45,6003.3,0.19,4,7,1,14,0,1,0,10.61,3,0,0,0,0,565.66,47,6,0,56,14,1,1
15,3,17,281,65,42775.21,0.56,4,1,1,52,3,2,1,25.28,6,0,0,0,2,1692.29,132,63,2,149,50,1,1
1,4,1,4,4,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
1,9,2,11,11,114.16,0.1,1,0,0,3,1,1,2,3,0,0,0,0,0,38.5,5,1,0,6,1,0,0
6,7,19,135,47,12110.39,0.25,2,1,4,26,5,0,1,16.15,3,0,1,0,2,749.87,57,20,1,78,19,0,1
2,1,3,31,19,888.88,0.4,3,1,0,4,1,2,1,6.75,0,0,0,1,0,131.69,15,7,0,16,7,0,0
2,14,17,135,53,7539.38,0.26,11,15,2,26,6,1,1,9.75,2,1,1,0,2,773.27,60,18,1,75,10,0,1
1,0,1,10,9,76.8,0.1,0,0,0,1,0,2,2,2.4,0,0,0,0,0,31.7,6,0,0,4,0,0,1
2,6,12,76,30,3238.55,0.12,5,6,2,14,3,0,0,8.68,5,0,0,0,2,372.92,30,7,1,46,12,0,0
3,10,12,137,53,7808.97,0.26,12,16,0,28,5,3,1,9.95,4,0,0,1,3,784.73,68,19,2,69,32,0,1
7,0,14,152,57,11257.75,0.3,10,10,2,19,0,4,1,12.7,7,1,0,1,3,886.6,78,30,3,74,29,0,1
3,5,12,103,40,7893.48,0.18,6,3,1,17,3,1,1,14.4,3,1,2,1,3,548.16,48,14,2,55,16,0,1
26,8,83,593,86,212403.85,1.27,9,16,3,90,8,0,0,55.74,15,0,0,3,19,3810.77,272,110,5,321,117,7,1
1,4,2,9,9,85.59,0.1,1,0,0,3,2,0,1,3,0,0,0,0,0,28.53,3,1,0,6,1,0,1
11,3,32,195,51,20984.73,0.37,3,10,1,48,3,3,1,18.97,2,0,0,0,15,1106.12,83,42,6,112,26,0,1
10,7,36,403,74,90828.2,0.83,10,14,1,61,7,1,1,36.3,11,0,1,2,9,2502.41,196,58,4,207,81,2,1
10,11,38,341,109,49379.41,0.77,25,21,5,54,11,4,1,21.4,13,1,0,5,10,2307.95,160,60,2,181,67,0,1
10,7,36,403,74,90828.2,0.83,10,14,1,61,7,1,1,36.3,11,0,1,2,9,2502.41,196,58,4,207,81,2,1
3,4,9,52,25,2340.5,0.8,3,3,0,13,2,0,1,9.69,1,0,0,1,3,241.48,21,7,2,31,7,1,0
15,26,62,404,72,121142.78,0.83,4,7,4,88,23,1,1,48.6,8,0,0,2,10,2492.65,162,81,3,242,72,2,0
1,1,2,16,14,213.21,0.2,2,1,0,3,1,0,1,3.5,0,0,0,0,0,60.92,7,2,0,9,3,0,1
11,15,40,373,82,105100.77,0.79,4,2,6,59,10,2,1,44.32,4,0,0,0,11,2371.37,162,47,6,211,56,2,1
1,4,1,13,12,77.67,0.2,1,0,0,6,2,4,1,1.67,0,0,0,0,0,46.6,10,0,0,3,0,0,0
1,1,3,20,11,456.64,0.2,0,0,0,4,1,2,1,6.6,0,0,0,0,0,69.19,11,4,0,9,2,0,0
2,6,5,39,21,1092.4,0.6,2,2,1,7,1,2,1,6.38,0,0,0,0,2,171.3,17,5,1,22,5,0,1
22,19,52,427,78,90474.56,0.89,11,5,1,78,15,0,1,33.71,10,0,0,8,22,2683.87,183,98,5,244,75,0,1
2,98,6,60,32,3616.67,0.1,6,3,0,12,2,5,2,12.6,2,1,1,0,1,300,31,8,1,29,9,0,1
1,8,1,13,11,102.79,0.1,0,0,0,1,1,3,1,2.29,0,0,0,0,0,44.97,8,0,0,5,0,0,0
1,0,3,47,24,1346.83,0.7,4,2,1,9,0,2,1,6.25,1,0,0,0,0,215.49,25,7,0,22,10,0,0
1,7,2,16,12,204.86,0.2,1,0,0,3,7,0,1,3.57,0,0,0,0,0,57.36,10,1,0,6,7,0,1
3,5,8,52,22,1406.8,0.8,1,2,2,11,3,1,0,6.7,1,0,0,0,2,231.89,26,8,2,26,11,0,0
4,4,21,340,50,72781.56,0.64,4,4,1,73,2,7,1,37.93,0,0,0,0,5,1918.91,177,56,2,163,68,0,1
35,23,70,470,49,72952.7,0.88,3,2,0,105,23,2,2,27.64,1,0,0,0,34,2638.91,191,79,2,279,92,0,1
3,3,2,59,23,2058.87,0.9,0,1,2,8,1,0,0,7.71,0,0,0,0,0,266.89,24,2,0,35,5,0,1
1,6,2,11,10,127.89,0.1,2,1,0,3,1,0,2,3.5,0,0,0,0,0,36.54,3,0,0,8,1,0,1
22,19,52,427,78,90474.56,0.89,11,5,1,78,15,0,1,33.71,10,0,0,8,22,2683.87,183,98,5,244,75,0,1
1,17,2,20,15,446.5,0.3,1,1,1,3,1,2,2,5.71,0,0,0,0,0,78.14,10,2,0,10,4,0,0
20,5,54,510,107,116262.62,1.15,9,23,2,80,5,10,1,33.82,12,0,0,4,8,3438.15,247,96,4,263,92,3,1
1,0,5,39,19,966.4,0.6,2,2,0,6,0,3,1,5.83,0,0,0,0,0,165.67,20,7,0,19,4,0,1
2,3,5,28,18,642.17,0.4,1,0,1,7,1,0,1,5.5,1,0,0,1,1,116.76,11,2,1,17,4,0,0
1,0,2,14,13,207.22,0.2,0,0,0,3,0,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
1,5,2,18,13,256.92,0.2,2,0,1,3,1,1,1,3.86,0,0,0,1,0,66.61,9,2,0,9,2,0,0
1,4,2,9,9,85.59,0.1,1,0,0,3,2,0,1,3,0,0,0,0,0,28.53,3,1,0,6,1,0,1
13,22,48,365,100,48500.15,0.81,23,25,8,64,11,2,1,20,15,1,2,4,16,2425.1,160,46,5,205,65,0,1
2,4,20,156,53,9361.6,0.3,8,12,4,29,2,6,1,10.48,4,0,0,2,2,893.56,80,24,1,76,22,0,1
1,5,18,137,61,7262.85,0.27,7,10,5,22,5,4,1,8.94,5,0,0,0,0,812.51,73,26,0,64,24,0,1
12,3,30,250,77,43686.73,0.52,5,5,1,53,3,3,1,27.88,4,0,0,2,4,1566.7,116,48,4,134,49,2,1
7,6,10,103,36,5591.27,0.18,4,8,0,14,4,2,2,10.5,1,0,0,2,1,532.5,42,18,1,61,17,0,1
4,4,9,82,28,3547.83,0.13,6,3,1,12,1,0,1,9,3,0,0,1,1,394.2,38,14,1,44,14,0,1
3,1,8,47,29,1762.38,0.8,1,1,1,10,1,0,2,7.72,0,0,0,0,1,228.33,19,11,1,28,6,0,0
3,11,7,54,30,3811.52,0.9,2,1,0,11,1,2,2,14.38,0,0,1,0,3,264.97,22,9,1,32,7,0,1
3,3,22,189,61,26245.68,0.37,7,5,1,28,3,5,1,23.41,5,0,0,0,3,1120.91,96,44,2,93,38,1,0
1,3,2,8,8,60,0.1,0,0,0,3,1,0,1,2.5,0,0,0,0,0,24,3,1,0,5,1,0,0
6,6,21,124,45,14929.39,0.23,6,2,1,25,3,3,1,21.92,5,0,1,0,6,680.99,60,23,4,64,25,1,1
1,27,1,5,5,17.41,0,1,0,0,1,1,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1,0,3,24,16,374.4,0.3,1,1,2,4,0,2,1,3.9,0,0,0,0,0,96,13,3,0,11,4,0,0
1,3,1,5,5,17.41,0,1,0,0,1,1,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1,5,1,4,4,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
1,9,1,7,7,29.48,0.1,1,0,0,2,2,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,0
9,11,26,257,70,41152.77,0.53,8,11,2,38,11,1,1,26.12,2,0,0,6,7,1575.23,114,65,4,143,43,0,1
2,0,5,24,15,632.92,0.3,0,0,0,7,0,0,1,6.75,0,0,0,0,2,93.77,9,4,1,15,2,0,1
4,4,21,340,50,72781.56,0.64,4,4,1,73,2,7,1,37.93,0,0,0,0,5,1918.91,177,56,2,163,68,0,1
6,16,31,220,80,26484.59,0.46,7,11,5,45,9,3,1,19.4,8,0,0,1,6,1390.82,107,39,4,113,41,1,1
7,6,16,144,47,12384.94,0.27,8,9,1,24,3,1,1,15.48,2,1,1,0,2,799.86,60,23,1,84,26,0,0
11,5,22,142,45,16844.61,0.26,2,0,1,36,2,2,1,21.6,2,0,1,0,4,779.84,54,19,3,88,17,1,0
5,20,48,487,67,96295.8,0.98,2,2,1,57,13,3,1,32.6,8,0,0,18,4,2954.19,226,98,2,261,89,0,1
1,4,3,12,10,79.73,0.1,0,0,1,3,2,0,0,2,0,0,0,0,0,39.86,6,2,0,6,3,0,0
7,6,10,103,36,5591.27,0.18,4,8,0,14,4,2,2,10.5,1,0,0,2,1,532.5,42,18,1,61,17,0,1
1,6,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
1,3,1,6,6,31.2,0.1,0,0,0,1,1,0,2,2,0,0,0,0,0,15.51,2,0,0,4,0,0,0
3,4,4,32,16,1386.67,0.4,2,1,0,7,1,0,1,10.83,0,0,0,1,0,128,13,8,0,19,7,0,1
1,13,2,10,10,83.5,0.1,1,0,0,3,1,1,1,2.5,0,0,0,0,0,33.22,5,0,0,5,1,0,0
5,9,12,98,37,6525.86,0.17,2,0,2,18,4,0,1,12.78,1,0,0,2,3,510.53,42,17,2,56,17,0,1
1,2,2,14,13,207.22,0.2,0,0,0,3,1,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
1,1,2,8,7,44.92,0.1,0,0,1,3,1,0,1,2,0,0,0,0,0,22.46,3,0,0,5,0,0,0
40,26,72,624,71,238084.71,1.28,2,3,4,113,26,1,1,62.4,2,1,1,0,36,3837.44,243,74,7,381,139,7,1
15,2,47,392,59,150059.3,0.77,3,3,0,58,2,3,2,65.7,10,0,0,0,18,2306,177,82,7,215,62,1,0
2,3,5,45,22,1806.7,0.7,1,2,2,7,1,0,1,9,1,0,0,1,1,200.67,18,3,1,27,4,0,1
29,14,68,607,89,198110.82,1.31,9,20,2,94,14,1,1,50.4,7,0,0,7,25,3930.77,273,133,3,334,113,2,1
4,10,9,74,31,6014.7,0.12,1,0,3,13,2,2,1,16.41,1,0,0,0,1,366.61,35,19,1,39,18,1,0
1,1,2,18,15,246.13,0.2,2,2,0,3,1,0,1,3.5,0,0,1,0,0,70.32,8,0,0,10,5,0,0
16,35,49,432,113,74165.35,0.98,15,24,5,77,19,4,1,25.17,10,0,2,2,18,2946.32,197,71,7,235,74,1,1
1,1,1,4,4,12,0,0,0,0,2,1,0,1,1.5,0,0,0,0,0,8,1,0,0,3,0,0,0
8,3,17,174,45,21978.4,0.32,5,6,0,25,1,4,1,23,3,1,0,0,1,955.58,92,51,1,82,41,0,1
4,4,18,127,33,6662.64,0.21,2,2,2,22,2,1,0,10.4,1,0,0,0,3,640.64,65,25,2,62,30,0,1
3,0,7,75,26,5287.99,0.12,4,5,2,9,0,1,1,15,2,0,1,1,1,352.53,30,7,1,45,14,0,0
11,17,40,255,56,48539.81,0.49,3,6,2,48,8,0,1,32.78,6,0,0,0,7,1480.88,118,54,3,137,52,2,1
3,4,6,34,17,802.96,0.5,2,0,3,9,2,1,1,5.78,0,0,0,0,2,138.97,13,6,1,21,6,0,0
2,0,6,61,29,2535.33,0.1,4,3,2,14,0,1,1,8.56,1,0,0,0,0,296.34,28,8,0,33,12,0,1
1,13,2,14,11,254.27,0.2,1,1,0,3,1,1,2,5.25,0,0,0,0,0,48.43,6,1,0,8,2,0,0
1,0,1,8,8,24,0.1,0,0,0,1,0,2,0,1,0,0,0,0,0,24,6,0,0,2,0,0,0
1,0,3,39,22,1043.51,0.6,3,1,1,9,0,2,1,6,1,0,0,0,0,173.92,21,6,0,18,8,0,0
2,5,5,62,30,3143.68,0.1,2,1,0,11,5,1,1,10.33,1,0,0,0,1,304.23,31,11,1,31,10,0,0
3,0,7,62,29,4356.57,0.1,1,0,0,9,0,1,1,14.46,2,0,0,1,1,301.19,27,9,1,35,12,1,0
8,11,14,123,50,11338.51,0.23,7,10,0,23,11,2,2,16.33,1,0,1,0,5,694.19,49,14,3,74,22,0,1
20,18,63,491,77,171768.56,1.3,3,5,2,75,15,0,1,55.82,13,0,0,1,20,3076.99,219,85,7,272,72,3,1
40,26,72,624,71,238084.71,1.28,2,3,4,113,26,1,1,62.4,2,1,1,0,36,3837.44,243,74,7,381,139,7,1
8,0,16,153,51,18808.61,0.29,3,1,2,21,0,3,1,21.67,5,0,0,0,5,867.88,73,23,2,80,22,0,0
1,14,5,32,17,677.78,0.4,2,0,2,6,3,1,1,5.18,1,0,0,0,0,130.8,19,9,0,13,8,0,0
1,10,2,21,16,210,0.3,2,0,0,3,1,1,0,2.5,0,0,0,0,0,84,11,0,0,10,1,0,1
1,12,2,25,16,916.67,0.3,0,0,0,3,1,0,2,9.17,0,0,0,0,0,100,11,4,0,14,3,0,0
1,4,2,17,14,242.72,0.2,2,1,0,3,2,2,1,3.75,0,0,0,0,0,64.73,10,2,0,7,3,0,0
1,11,2,11,11,114.16,0.1,1,0,0,3,1,1,2,3,0,0,0,0,0,38.5,5,1,0,6,1,0,0
244,0,626,6065,555,1702095.96,18.43,11,5,0,910,0,1,1,30.78,171,0,2,40,283,55290.63,2786,1009,2,3279,919,0,1
1,0,2,8,8,60,0.1,0,0,0,3,0,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
1,0,11,86,27,2570.36,0.14,1,1,0,12,0,2,1,6.29,0,0,0,0,0,408.92,44,20,0,42,10,0,0
1,8,4,26,13,561.23,0.3,1,0,2,6,1,0,1,5.83,0,0,0,0,1,96.21,10,1,1,16,2,0,0
2,17,12,98,38,10200.22,0.17,2,2,1,19,4,4,2,19.83,1,0,1,0,1,514.3,49,22,1,49,27,0,1
3,7,14,95,38,9064.6,0.17,3,1,0,18,1,3,1,18.18,2,1,0,0,2,498.55,50,19,1,45,21,1,0
8,3,17,174,45,21978.4,0.32,5,6,0,25,1,4,1,23,3,1,0,0,1,955.58,92,51,1,82,41,0,1
6,4,23,189,57,22020.76,0.37,4,5,9,30,4,3,1,19.98,7,0,1,2,7,1102.42,94,35,3,95,40,1,1
1,5,2,10,10,99.66,0.1,0,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,1
2,1,6,48,21,1686.65,0.7,2,0,0,8,1,4,1,8,0,0,0,0,0,210.83,26,11,0,22,6,0,1
1,1,3,28,17,499.41,0.4,1,2,0,4,1,2,1,4.36,0,0,0,0,0,114.45,16,5,0,12,6,0,0
1,0,4,38,22,988.51,0.6,4,0,2,9,0,4,1,5.83,2,0,0,0,0,169.46,25,7,0,13,9,0,1
2,2,13,109,41,7872.82,0.19,3,2,1,20,2,0,1,13.48,2,0,0,0,2,583.97,52,20,1,57,19,0,1
8,2,39,186,41,38911.13,0.33,2,3,0,37,2,1,1,39.5,2,0,0,0,8,996.5,82,35,2,104,32,3,1
27,43,131,925,78,290007.71,1.94,0,0,3,190,37,1,1,49.88,21,0,0,0,18,5814,419,217,2,506,202,0,0
2,0,2,19,14,434.4,0.2,0,0,0,4,0,1,1,6,0,0,0,0,0,72.34,9,5,0,10,3,0,0
1,1,1,7,7,29.48,0.1,1,0,0,2,1,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,1
5,0,10,76,34,6379.68,0.13,2,1,0,11,0,0,1,16.5,0,0,0,0,3,386.65,33,13,3,43,10,1,1
17,16,53,502,76,160610.4,1.5,7,12,2,71,16,1,1,51.21,9,0,0,9,17,3136.46,236,111,5,266,103,1,1
3,2,10,59,26,3565.62,0.9,2,1,2,10,1,2,1,12.86,2,0,0,0,2,277.33,30,8,2,29,10,1,0
1,3,4,23,12,382.82,0.3,0,0,2,5,1,1,1,4.64,0,0,0,0,0,82.45,13,6,0,10,5,0,0
4,4,8,92,30,5417.21,0.15,2,10,0,13,2,1,1,12,0,0,1,0,5,451.43,36,12,2,56,9,0,1
2,17,12,98,38,10200.22,0.17,2,2,1,19,4,4,2,19.83,1,0,1,0,1,514.3,49,22,1,49,27,0,1
32,33,66,518,62,143777.36,1.3,6,11,1,98,31,3,2,46.62,4,0,0,7,28,3084.27,211,102,4,307,110,2,0
1,5,1,8,8,48,0.1,1,0,0,1,1,1,2,2,0,0,0,0,0,24,4,0,0,4,0,0,0
1,0,3,33,20,950.82,0.5,2,0,1,12,0,3,1,6.67,1,0,0,0,0,142.62,20,6,0,13,7,0,0
1,2,2,14,13,207.22,0.2,0,0,0,3,1,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
3,7,20,143,51,9712.54,0.27,9,12,0,23,2,4,1,11.97,4,0,1,0,4,811.16,70,26,2,73,25,0,1
2,4,5,28,19,859.3,0.4,0,0,0,7,2,0,0,7.22,1,0,0,0,1,118.94,13,6,1,15,5,0,0
1,17,1,7,7,49.13,0.1,0,0,0,1,1,0,2,2.5,0,0,0,0,0,19.65,2,0,0,5,0,0,1
8,0,26,177,40,24303.12,0.31,2,0,1,25,0,2,1,25.8,3,0,0,0,6,941.98,86,20,4,91,31,3,0
1,20,1,10,10,66.44,0.1,2,0,0,1,1,2,2,2,0,0,0,0,0,33.22,6,0,0,4,0,0,1
1,1,6,44,21,1014.63,0.6,0,0,0,7,1,0,1,5.25,0,0,0,0,0,193.26,21,6,0,23,5,0,1
1,4,2,19,13,271.19,0.2,3,1,1,3,1,1,1,3.86,0,1,0,1,0,70.31,9,2,0,10,2,0,0
2,4,6,37,18,732.86,0.5,1,2,1,8,2,1,0,4.75,1,0,0,0,1,154.29,19,5,1,18,8,0,0
1,18,2,61,26,1672.57,0.1,0,0,1,9,1,15,1,5.83,0,0,0,0,0,286.73,49,15,0,12,16,0,0
2,5,8,65,30,2954.46,0.11,4,5,0,10,2,1,2,9.26,4,0,0,0,1,318.95,32,9,1,33,13,0,1
2,2,10,56,21,2121.49,0.8,2,5,0,9,2,0,1,8.62,1,0,0,0,1,245.97,23,5,1,33,7,1,0
1,0,2,8,8,60,0.1,0,0,0,3,0,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
1,6,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
4,5,11,66,31,3904.49,0.11,3,2,1,13,2,1,1,11.94,2,0,1,0,4,326.98,29,5,3,37,10,1,0
21,43,148,1386,126,675902.93,3.22,7,11,1,164,27,1,1,69.89,34,0,0,55,22,9670.51,626,263,6,760,238,4,1
149,58,363,2909,216,2858271.91,7.52,6,9,15,558,52,0,1,126.7,37,1,2,3,123,22558.97,1187,459,9,1722,527,12,1
2,2,15,129,42,10608.4,0.23,4,2,1,22,2,0,1,15.25,2,0,0,1,2,695.61,61,25,1,68,21,0,1
6,8,18,120,42,8266.98,0.22,3,7,0,31,5,2,1,12.78,2,0,0,0,5,647.8,57,28,1,63,22,0,1
13,7,33,275,58,32312.56,0.54,13,15,1,38,5,0,1,20.6,5,1,0,1,14,1610.94,115,49,3,160,59,0,0
6,3,18,204,45,44113.31,0.37,0,0,0,27,3,0,1,39.38,10,0,0,0,2,1120.34,90,45,1,114,47,2,1
7,6,22,157,50,16661.9,0.3,6,6,2,26,4,3,0,18.8,4,0,0,0,7,886.9,73,25,4,84,30,1,1
2,17,12,98,38,10200.22,0.17,2,2,1,19,4,4,2,19.83,1,0,1,0,1,514.3,49,22,1,49,27,0,1
1,0,1,4,4,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
22,20,73,500,80,128260.13,1.5,10,21,0,80,14,2,2,40.58,13,0,0,0,22,3160.96,228,85,7,272,96,6,1
3,4,15,169,53,12036.55,0.32,11,18,1,27,1,0,1,12.43,1,0,0,0,1,968.2,63,21,1,106,31,0,1
1,12,1,5,5,17.41,0,0,0,0,1,1,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
2,4,4,24,15,535.8,0.3,2,0,2,6,2,1,1,5.71,0,0,0,0,1,93.77,10,4,1,14,4,0,0
1,5,2,17,14,345.2,0.2,0,0,0,3,1,1,2,5.33,0,0,0,0,0,64.73,8,2,0,9,1,0,0
79,22,239,1378,180,427245.4,3.44,1,0,7,369,22,1,1,41.38,3,0,0,0,40,10323.77,538,354,3,840,300,0,1
17,5,33,303,78,62883.67,0.63,17,1,1,44,5,4,1,33.2,6,1,0,9,5,1904.48,140,76,2,163,47,0,1
3,4,15,169,53,12036.55,0.32,11,18,1,27,1,0,1,12.43,1,0,0,0,1,968.2,63,21,1,106,31,0,1
11,15,40,373,82,105100.77,0.79,4,2,6,59,10,2,1,44.32,4,0,0,0,11,2371.37,162,47,6,211,56,2,1
1,0,1,5,5,17.41,0,0,0,0,1,0,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
16,17,30,338,50,29068.55,0.64,14,4,0,32,15,0,1,15.24,1,0,0,0,1,1907.62,160,69,1,178,71,0,1
4,8,14,97,36,8424.91,0.17,4,1,3,16,2,0,1,16.8,4,0,1,1,4,501.48,42,10,3,55,14,1,1
1,1,1,4,4,12,0,0,0,0,2,1,0,1,1.5,0,0,0,0,0,8,1,0,0,3,0,0,1
3,6,19,176,43,17174.49,0.32,1,1,2,24,6,1,1,17.98,4,0,0,0,4,955.2,83,21,2,93,16,0,1
2,98,6,60,32,3616.67,0.1,6,3,0,12,2,5,2,12.6,2,1,1,0,1,300,31,8,1,29,9,0,1
11,17,40,255,56,48539.81,0.49,3,6,2,48,8,0,1,32.78,6,0,0,0,7,1480.88,118,54,3,137,52,2,1
6,0,6,72,27,6633.7,0.11,0,0,0,12,0,2,1,19.38,1,0,0,0,0,342.35,31,13,0,41,13,1,0
1,4,2,7,6,36.19,0.1,0,0,0,3,2,0,1,2,0,0,0,0,0,18.9,2,0,0,5,0,0,0
3,0,7,64,28,2307.53,0.1,3,5,0,11,0,1,1,7.5,0,0,0,1,1,307.67,27,13,1,37,10,0,1
4,4,21,340,50,72781.56,0.64,4,4,1,73,2,7,1,37.93,0,0,0,0,5,1918.91,177,56,2,163,68,0,1
10,2,16,177,49,21201.14,0.33,7,7,1,34,2,4,1,21.33,2,0,1,2,3,993.8,88,49,2,89,57,0,0
1,4,2,9,9,85.59,0.1,1,0,0,3,2,0,1,3,0,0,0,0,0,28.53,3,1,0,6,1,0,1
6,5,16,114,42,8889.86,0.2,7,8,1,23,3,2,1,14.46,3,1,2,2,7,614.72,47,19,4,67,16,0,0
1,16,2,12,9,118.87,0.1,0,1,1,3,1,0,1,3.12,0,0,0,0,0,38.4,5,0,0,7,1,0,0
4,2,12,77,30,6281.43,0.13,1,3,0,12,2,2,1,16.62,0,0,0,0,2,377.83,38,11,2,39,14,1,0
1,5,2,10,10,99.66,0.1,0,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,1
2,3,5,48,24,1584.56,0.7,3,3,1,7,1,2,1,7.2,1,0,0,1,1,220.8,24,5,1,24,6,0,0
