@relation		textmining-train

@attribute		description		string
@attribute		isBug			{0, 1}


@data
"Token expiration validation configurable Token expiration validation is enforced for TomcatAn attribute like tokenExpirationValidation of Tomcat FederationAuthenticator could allow to disable validation",0
"Add Callback support for the Realm WTRealm protocol property programmatic ability to adjust the Realm parameter One less file change between devtestprod",0
"Customize SignIn Query Provide the option to either configure the extension of the sign in query or configure a callback handler for customization",0
"Support audit log in STS Issue raised here CXF5010 Enable this feature in Fediz STS",0
"Provide an Example JDBC based Claims handler I have a requirement to pick up a users ROLE claim from an existing JDBC database  It would be great if there was an example showing how this could be done",0
"Provide Maven profile to build STS with LDAP backend mvn clean install Pldap builds an STS with JAAS LDAP authentication and LdapClaimsHandler",0
"OnBehalfOf Token does not expire in the IdP The cached OnBehalfOf Token retrieved initially in the IdP is not checked for expiry If it has expired then a new token should be retrieved",1
"Http Form Based Login Add support for HTTP Form Based Authentication as IDP supports HTTP Basic Authentication only",0
"Karaf OSGi deployment fedizcore and fedizjetty as OSGi bundle thus Jetty embedded in Karaf can use Fediz",0
"Single Sign Out The goal is to invalidate all sessions of related webapps with a single action button",0
"Configure RP Metadata document url in IDP The required claims for each application is configured in the IDP in RPClaimsxmlThe RP supports publishing the metadata document FEDIZ1 which should be processed by the IDP",0
"Make the TokenReplayCache implementation configurable in the Fediz configuration This task is to make the TokenReplayCache implementation configurable in the Fediz configuration Currently the EhCacheTokenReplayCache implementation is used by default",0
"Secure activemq topics Im leaving it here for the sake of completeness Topics might need authorization and not sure how to do it",0
"Enable SSL for Falcon REST API Good to have but not in the first iteration",0
"Secure Dashboard  need to send a valid user instead of admin Im not sure what to do here",0
"Late data handler is invoked for all feeds  no check if late arrival is configured I wonder why late data needs to be recorded for feeds with out late arrival being configured Its moot since this will never be used There is a global config in runtime but this does not make sense",1
"Add support for JRE in the startup scripts This is an open ended jira to add support for JRE in the startstop scripts",0
"Package oozieelextensions jar files as part of tarball Package oozieelextensions as part of binary tarball",1
"Hive Metastore server can be local instead of being remote for integration tests orgapachefalconlistenerHadoopStartupListener#startHiveMetaStore brings up a remote meta store but can instead be a local server and could speed up tests",0
"Integrate cobertura plugin to get coverage reports Itll be useful to have coverage for the code",0
"Improve the icons for instance lists The current web UI does not show icons for instances that are in KILLED  ERROR state The UI be consistent with respect to picking icons for all instances",0
"Use DI for services and factory interfaces to make it easy to mock in tests Most of the classes have static get and mocking em is hard Using DI should alleviate this and help us to mock Services in tests 2 choices: CDI in Java 7 or Guice",0
"Import external libraries into the repository The external libraries used by the web UI should be imported into the repository so that the web UI can continue to function in an intranet environment",0
"Release falcon 04 umbrella This is an umbrella jira for falcon 04 release",0
"Disable table replication for multiple sources Table replication does not support multiple sources and is lot more involved to add it Will disable it until we add this feature in the near future Will create another jira for enabling it",1
"Table replication must drop partition before import as late reruns fails Table import fails if a partition already exists and reruns are quite common with late data handling which would fail ",1
"Feed Storage type isnt passed in replication for successful post processing I think I forgot to propagate the changes when I worked on FALCON129 cumulative patch Things will not work with out this",0
"REST API for entity  Admin resources only returns XML I think the resources except the entity definition need to return both XML and JSON I plan to add JSON",1
"Print FileSystem exception for debugging purposes SharedLibraryHostingService#pushLibsToHDFS should print the file system exception for debugging",0
"Cleanup testng dependency Our main Falcon pom defines two different versions of testng",1
"Feedback enhancements and bug fixing Feedback enhancements and bug fixingNote The actual time estimate will depend on the number of enhancements suggested and bugs raised",0
"Overall functional testing of the visibility tool Test the tool functionality and seek feedback for acceptance",0
"Provide interactive triggers in the web view Provide interactive triggers for the user in the web viewBasic functional testing of this part is accommodated in the estimates",0
"Web view presentation Create the web view to show the data pipeline and its dependencies along with statusNoteThis may require changes based on the feedback",0
"UI Integration Create code for consuming the FALCON data UI Integration Create code for consuming the FALCON data and integrate the two components UI and FALCON",0
"Add an API to return the dependency graph Fetch the status of all entities and append it to the parent JSON file",0
"JSON creation for entities Get the list of all the entities and create a single JSON file",0
"Falcon compilation fails for hadoop2 profile Mainly due to hadoopcore and hadooptest artifacts not being available in hadoop 2x",1
"Add integration tests for feed entity parser with table defined Having issues to get webhcat up and running ",0
"Retention to handle hive table eviction Must handle both hive managed and external tables",0
"Replication to handle hive table replication Data and metadata to be replicated atomically",0
"Option to build distributed packages distributed profile builds 2 wars  one for prism and another for falcon server The assembly plugin with distributed profile should also build 2 packages  one for prism and another for falcon server",0
"Remove JUnit dependency as its used only for asserts while TestNG for tests Convert JUnit asserts to TestNG assert statements",0
"exception from ConfigurationChangeListener should fail the API Cluster submit succeeds even though copy jars to cluster fails This creates inconsistent state We should fail the API in this case",1
"File Installationstepstxt contains old path to repository The file Installationstepstxt contains instructions to use old github repository instead of new Apache one",1
"Enable embedding pig scripts directly in a process Falcon allows users to express processing as a oozie workflow This will enable users to embed pig or hive scripts with out having to express them in a oozie workflow",0
"allow coord rerun for instance for which workflow did not materialize  for the timedout instance and failed instance which do not have a corresponding workflow feature needs to be added which enable coord level rerun  ",0
"Allow rerun of timedout instances Falcon doesnt allow rerun of timedoutfailed instances of feedprocess",1
"Add website for Falcon Initial website for falcon",0
"Rename ivory to falcon in project There is one class that still refers to ivory in javadocs: orgapachefalconserviceProcessSubscriberService",1
"Define XXXHook in J2eeEmitter wsdltoJavaEmitter defines hooks to override defaults java nameJ2eeEmitter do not use themMaybe a little refactoring of Emitter will be needed",0
"reduce the size of the ews jar there are ewsxmlbeansDEVjar and several xsds and their xmlbeans generatedcode which are already in Geronimo",0
"BindingC Linux build is not working on Apache build infrastructure It seems APRs libuuid dependency is missingEither we have to link against it implicitly or libuuid is missing on the build slave at all",1
"StubBase not sending session events to user implemenation StubBase gets eg sessionNotify events Till now these events are not forwarded to the implementation there is a TODO for that in the code",1
"Add Unit tests for UdpConnection There are no unit tests for the UdpConnection class in the c# runtimeThey could be similiar to the TcpConnection tests located in runtimesrctestcsharpEtchUtil",1
"Splitting up initParams function in ValueFactory generation On large IDL files the compiler for the value factory produces large initParams methods To make it more readable they should be spilt up as it is done eg in the c and javabinding",0
"Subscribe to mailing lists chair Subscribe to the board mailing listSubscribe to the infrastructure mailing list",0
"Implementation of Timeout Add AlarmManager to detect time outs See java binding for further function description",0
"Implementation of cppbinding examples Add examples how to use the cppbinding: HelloWorld Example Example with Mixin Performance test Chat ",0
"Implementation Transport Factories Implementation of tansport factories: TcpTransportFactory  ",0
"Implementation DeliveryService  DeliveryService interface DefaultDeliveryService implementation",0
"Implementation Serverfactories Implementation of  ServerFactory Interface DefaultServerFactory",0
"fix URLs in BUILDtxt File BUILDtxt has broken urls hudsonapacheorg in section Setting up your ETCHEXTERNALDEPENDSAttached patch fixes them",1
"Add build identifier to build artifacts  Add build identifier and revision to the etchproperties file Build identifier and revision is set during build",0
"KeepAlive not implemented The C binding does not implement Etch level keep alive messages This prevents persistent connections to preexisting Java or C# servers which are running with the KeepAlive filter enabled",1
"Implementation of compiler basic class Implementation of compiler basic classes",0
"Implementation of Remote base Implementation of remote base class",0
"Implementation of Stub Base classes Implementation of stub base stub helperclasses",0
"Implementation of Templates Implementation of Velocity Templates for:basehelperimplintfmainremotestubvaluefactoryreadmeWireshark Plugin file",0
"Definition of Etch Enumerations Definition of Enumerations forAsyncModeDirectionLevel",0
"Implementation of EtchArray Implementation and UnitTest",0
"Implementation Validators  Interfaces TypeValidators",0
"Implementation ValueFactory  Interface Implementation of DefaultValueFactory",0
"Implementation Transport Interfaces Implementation of Etch Transport Interfaces: EtchTransport EtchTransportData EtchTransportMessage EtchTransportPacket",0
"Implementation Session Interfaces Implementation of all EtchSession interfaces: EtchMessage EtchSession EtchSessionData EtchSessionListener EtchSessionMessage EtchSessionPacket",0
"Implementation Messagizer  Implementation of Messagizer Tests",0
"Implementation Packetizer  Implementation of Packetizer Tests",0
"Create Transport Layer  Interfaces Basic TCP Transport",0
"Update Etch Binding to new Go Version update etch go binding to current version 8g version releaser60 9481",1
"UTF8 encoding crashes UTF8 encoding is not supported User is acknowledged just by callstack listing",1
"Naming conflicts in Etch bindingc runtime message module; add prefix etchmessage Naming conflicts in Etch bindingc runtime message module; add prefix etchmessage to conflicting functions",1
"Implementation of EtchThread Implementation and UnitTest",0
"Implementation of EtchHashtable Implementation and UnitTest",0
"Implementation of EtchList Implementation and UnitTest",0
"Implementation of EtchQueue Queue implementation and UnitTest",0
"Integrate the pythonbinding into the windows build this involves figuring out how to package the python runtime",0
"create directory structure for c binding create the directory structure for the c binding more or less just like the the c# binding",0
"the etch downloads need to be moved to apache the etch downloads are still hosted at ciscocom they need to be moved and the linksin the wiki pages updated",0
"Provide a cobertura plugin Ideally this plugin should rely on an abstract coverage plugin",0
"BeanListPageElementgetItemQueryCmd does not clear limt and skip rows The function BeanListPageElementgetItemQueryCmd returns a clone of the list query command but does not clear skipRows and limitRows",1
"Allow to insert statemens into a DBScript Currently Statements can only be added to the end of a DBScript A new function insertStmt should allow to insert a Statement at any position into the script",0
"Improve DDL Syntax by allowing variable parameters for primary key and relations Improve DBTablesetPrimaryKey and DBDatabase addReleation by allowing a variable number of arguments rather than an array",0
"Allow replacement of statements in a DBScript add a setStmt method to allow changing Statements in a DBScript",0
"DateUtilsTest fails on specific dates  code it is testing is not used Date and time code is nontrivial The current test DateUtilsTest#testGetDateTimeFromNow seems to fail sometimesI discovered that the functionallity tested is nowhere used so I suggest to remove it",1
"Provide a method to obtain a sql statement to enalbe or disable a foreign key Constraint The currently available DDL generation only supports to create or drop a foreign key relationProvide a new method which allows to disable or enable a constraint as supported by Oracle and SQL Server",0
"Wrong datatype for uniqueid in SQLServer The correct datatype identifier für uniqueid in SQL Server is UNIQUEIDENTIFIER instead of UNIQUEID",1
"Miscellaneous small improvements Small things like new helper functions or new overloads for existing methods that are provided for convenience",0
"Simplify access to foreign key relations Simplify access to foreign key relations by providing a corresponding method on DBTable",0
"Provide access to native error message for SQL exceptions Provide access to native SQL error message",0
"Allow compare expressions to be wrapped with parenthesis Currently parenthesis are automatically added to and  or compbinations of compare expressionsAdd a method that allows custom setting of parenthesis",0
"New component to simplify JSF web application development with Empiredb Create a new component to simplify JSF web application development with Empiredb just like the Empiredbstruts2 extentions",0
"Prepared Statements: Convert Enums to String to avoid SQLException When preparedStatements are enabled setting a value of type Enum will cause an SQLException to be thrownAvoid this by converting to a String beforehand",1
"Allow Expression based Indexes Currently only column based indexes are allowed with the table defintionAdd support for expression based indexes eg two concatenated columns as supported by Oracle",0
"Miscellaneous Small Improvements Issue for small improvments such als additional function overloads or improved parameter checks",0
"Prevent columns to be added twice to a table or view Check if a column already exists in a table  view declaration before adding itIf it exists throw an ItemExistsException",1
"Add support for multi column foreignkeys to code generator Currently the code generation only supports single column foreign keysAdd support for multicolumn foreign keys",0
"Split off the xml configuration mechanism to an optional module This is somewhat related to the removal of the log4j dependency as the config module is the only place directly linking to log4jAlso the xml configuration is in fact optional",0
"Code Review and cleanup Prepare code for relese 21",0
"Update EmpireStrutsExtentions to Struts 221 and provide Portlet Support Upgrade Struts2 extentions to work with the latest Struts2 relese 221 and make sure the extentions work with the struts2portletplugin",0
"Change various private modifiers to protected to allow interception Many functions in DBCommand and the dataabase drivers are private but should be protected",0
"Create a scala example project Try to add a empiredb  scala example to the examples",0
"HSQLDB driver fails to retrieve next sequence value for lower case sequence name Reported by Andrew Cooke",1
"CodeGenerator project setup The empiredb code generator is a new subproject which should be capable of generating source code classes from an existing database",0
"CXF Example Code Cleanup Code Walkthrough and cleanup",0
"BeanRecordProxy isFieldReadOnly wrong for new records BeanRecordProxy isFieldReadOnly always returns false for a primary key columnHowever for new records this is not desireableAdd special new Record behaviour",1
"Support for PostgeSQL add support for PostgeSQL",0
"HSQLDB driver doesnt support conversion of value to DOUBLE The hsqldb driver doesnt support convertToDataTypeDOUBLE This should be added",1
"Allow textarea to handle keypress and keyup events in order to check the maximum length the input render key event attributes according to a format option called maxlength",0
"Maximum size is not passed to error message handler for DBErrorsFieldValueTooLong in DBTableColumn::checkValue add size parameter to error handler",1
"Allow empty record item parameter The function getRecordKeyFromString in the class ActionBase should return null if the item string consists of the new item flag only",1
"tag library definition does not allow java expressions for the cssClass attribute the empiretagstld does define the cssClass attribute for various tags as Stringonly Hence the class name cannot be generated",1
"Record fields are not cleared properly by createRecord The DBRecordcreateRecords function does not clear all fields of a previous record if the table is not changedThis may lead to undesired behaviour in rare circumstances",1
"Allow javascript code on anchors Supresse URL encoding for javascript commands",0
"Add column attribute to radioButtonTag and onClick attribute to menuItemTag The tag library definition must be extended to support the column attribute on the radioButtonTag and onClick attribute on the menuItemTag",0
"Move buildxml from src directory to root directory buildxml is in a strange location: in the src directory in the root package This really is not the AntJava way",1
"Introduce submodule property Set submodule property when running subprojectsThis property can be used by plugins to trigger different behavior on submodules",0
"Multimodule log is messy First line of task are printed before target name",1
"Provide an android plugin We should be able to build android projects",0
"Allow SubModule to pass arbitrary propertysets and references to the subbuilds The function would be similar to subantIn addition to that it would be helpful to be able to pass a list of additional modules to be loaded ",0
"Building eclipse plugins The use case is to provide everything you need to build an eclipse plugin  eclipse based application",0
"Add a default value for premodulestarget Our MetaBuildExecutor can process a set of targets BEFORE invoking submodulesThis mechanism is configurable through a property premoduletargetsHowever there is no default value",0
"Update EC2 Driver to support EBS backed instances Currently the deltacloud implementation does not support EBS backed instances  and due to this Start  Stop are currently not implemented ",0
"Added storage functionalities to Arubacloud driver Please find attached patch for storage support in Arubacloud driver",0
"Update for Arubacloud driver Please find attached a patch for Arubacloud driver fix some minor fixes DTACLOUD389 and updated entrypoints",0
"cimi: listed volumes show id instead of name in name attribute cimivolumes shows volume id instead of storagevolume name in name element",1
"CIMI Client: flash messages dont show None of the current flash handling for the CIMI webapp does not work",1
"change directory structure so each plugin manages its own dependencies Droids core should have no major dependencies  however each plugin should be able to require whatever is neededWe should change the directory layout to reflect this design",0
"Rackspace auth with the openstack driver add Rackspace support to Conductor via OpenStack versus their older API",0
"EC2 requests timeout on CentOS EC2 requests via Deltacloud frequently return status code 502 when running on CentOS 62 Requests are occasionally successful",1
"We need a robotstxt The public endpoints get crawled leading to lots of 403s We should have a robotstxt that tells crawlers not to bother looking any further",1
"Mention python client on web site We need to mention how to contribute to our Python client on website",1
"fgcp: instancecount support fgcp api recently introduced a new CreateMultipleVServer operation which can be used to implement the instancecount feature",0
"Missing keynameattribute in JSON output against openstack The keyname attribute is missing in JSON output when requesting all instances or a single instance against openstack ",1
"CIMI: Creating machine modal  The modal is not dismissed after the machine is created Success flash message is not shown Not redirected to that machine ",1
"CIMI MachineImages undefined method `href for nil:NilClass Error in clientcimiviewsmachineimagesshowhaml",1
"Create component infrastructure Droids core should have no major dependencies  however each plugin should be able to require whatever is needed The framework should provide mechanism to create different types of plugins",0
"CIMI: machine name update operation cimi allows machine attribute updating fgcp supports changing of the instance name Please add support for this operation in the core part so I can add a mapping for it to the fgcp driver Cheers!",0
"New provider driver for Aruba cloudit platform Add the provider driver to manager Aruba cloudit platform",0
"Make Deltacloud compatible with OpenShift Deltacloud API must be able to be easily deployed on OpenShift Currently the URL mapping is brokenThis bug also occurs for EC2 frontend",0
"CIMI: frontend needs lookaside storage The CIMI frontend needs lookaside storage so that we can support things like assigning names to machines even if the backend does not allow userassigned namesSee eg issue DTACLOUD277",0
"convert inbetweensql to JUNIT conversion of inbetweensql to JUNIT",0
"Missing location option to specify the endpoint while creating a new bucket in EC2 setup Missing location option to specify the endpoint while creating a new bucket in EC2 setup  Refer the screenshot endpointmissingpng for further information",1
"add runoninstance support to mock driver mock driver currently does not mock the runoninstance operation",0
"convert columnDefaultssql to JUNIT Conversion of the columnDefaultssql to JUNIT",0
"Rename defaultCrawler and defaultWorker lately I am thinking that the defaultWorker and defaultCrawler should berenamed since the naming causes some bias about the focus of droids asframework",0
"Deltacloud API fails to display t1micro as the compatible hwp matches for ebs backed amis in ec2 setup Deltacloud API fails to display t1micro as compatible hwp matches for EBS backed amis both i386  X8664 architectureRefer the screen shot ebs1png and ebs2png for more info",1
"No Reboot Option for RHEV Instances in deltacloud 040 Reboot button or option is not there for instances in RHEV deltacloud 040",1
"Stop and Reboot instance from deltacloud core API UI keeps the page loading for a long time Launch an instance and stop it Clicking on Stop button does stop the instance but keeps the page loading for a long timeSame for Reboot Instance",1
"Add java client contribution to the Deltacloud project We developed a java client for Deltacloud that we use in our tooling JBoss Tools Deltacloud We would like to contribute this client to the Deltacloud project",0
"Add missing license headers Several files from core are missing the required license headers These will be required for a release",1
"Create unit tests for drivers like Rackspace Create set of unit tests for backend drivers",0
"Add Handler to Walker The FileWorker does not handle the retieved filesCurrently it only logs the id to the logger implThere should also be a GetterSetter for the HandlerFactory as implemented in the CrawlingWorker",0
"SimpleTaskQueueWithHistory addAll does not add the new tasks  The method addAll should add a list of new Tasks to the queueIt must be looked to already added tasks to prevent double parsing of filesBut the method always returned false",1
"CrawlingWork shouldnt use functions we deprecated CrawlingWorker in the core shouldnt use functions weve deprecated ",1
"CrawlingWorker runs out of memory CrawlingWorker when loading the entity can run out of memory I discovered this when my crawler tried to pull down a 33GB file This should be handled semigracefully",1
"Inputstream not close after file read when loading regex filters in RegexURLFilter class Inputstream not closed from RegexURLFilter after loading from classpath or disk filePatch attached",1
"Minor changes to URLFilterFactory 1tRemoved the creation of unnecessary objects2tMoved the null test in acceptString urlString out of the loop to reduce processing time",0
"Incorrect or missing SVN property settings Lots of files dont have the correct SVN properties; source files should be eolstyle:native to allow proper interworking between committers using OSes with different EOLsPatch script to follow",1
"Validators are no longer used by the crawling process The patch for DROIDS56 has removed the validation from the crawling process See discussion on DROIDS56 for more details ",1
"Moving droidscrawler and droidscrawlerweb in a contrib folder or in a sandbox These projects are not integrated with the others We should merge them with the codebase or move them in a contrib folder or a sandbox",0
"Upgrade some of the outdated Maven plugins One bonus reason for this is that usually the older plugins were not designed for Maven 3 ",0
"Extensive use of Guava preconditions  Guava has been introduced in 001 but is not extensively used in Droids yet We also could catch this opportunity to create a better test coverage",0
"Merging the TaskValidator with the filter mechanism The TaskValidator logic may be handled by filters",0
"Removing the cyclic reference between Droid and TaskMaster The TaskMaster should be for the Droid what an Executor is for a Runnable in the java api Furthermore a TaskMaster should be able to manage the execution of several Droids simultaneously",0
"Introduce Mockito as the default mocking framework Mockito has become the standard when it comes to mockingstubbing My proposal is to introduce this into droids so that more work can be done on testing ",0
"Rename Save to SaveHandler and Sysout to SysoutHandler for consistency purposes The two handlers should be renamed for consistency purposes I have attached a patch for this issue ",0
"Add public void with reader parameter for the Regex files In many cases be able to pass a reader is more flexible with an input source resolver than use an hard coded string Here comes the patch",1
"Rename misspelled getLastModifedDate and setLastModifedDate methods in LinkTask There are 3 gettersetter in LinkTask that deal with the same field; two of them are misspelled:  getLastModifedDate setLastModifedDate getLastModifiedDateThis should be fixed ",1
"LinkExtractor doesnt set the anchorText on the link The LinkExtractor class does not attempt to set anchorText on any found links ",0
"Doesnt honor base element TikaHtmlParser doesnt honor the base element This will make some site uncrawlable ",1
"Use latest version of Tika Use latest version of Tika Its come a long way since the 02 version in the current pom",0
"Customizable solr handler In some use cases it could be useful to have a handler which allows to select parts of the documents content by specifying path selectors ",0
"Update to latest JAXB version 223 from 222 Update to latest JAXB version 223 from 222",0
"TaskQueue should let you peek at the top N tasks useful for monitoring The task queue should expose the next few tasks for monitoring",0
"make the TaskMaster pausable It is often useful to be able to pause execution and then later resume",0
"Provide ability for large content entities to overflow to a temp file Presently content bodies retrieved by Droids get buffered in memory regardless of their length There should be an option to let content overflow to a temp file after a certain thresholdOleg ",0
"build script should build all depot jars The build script needs to build the core and each depot jar",0
"Handler Framework Add the javaxxmlwsreferenceparameters property on Table 92",0
"Start toward using javasecurityPermission Opening this issue for visibility of the work Im proposing on the dev list for making triplesec useable as a JACC provider",1
"Clean up logging configuration Need to clean up slf4j and other logging dependencies  Move dependency defs to parent pom",0
"Add cTAKES GUI web interface Adding a placeholder in sandbox not quite ready for prime time yet",0
"Update pomxml for Apache transition toplevel pomxml needs to be updated for Apache",1
"Update defaultini Update defaultini to contain new values that are new in BigCouch",0
"Incubator references Here are two files that list all the files where incubator is referencedIm going to clean sndbox as soon as I can",0
"Convert grantRevokejava to JUnit Convert grantRevokejava to JUnit Also add test cases from grantRevokeDDL and grantRevokeDDL2 SQL tests to the new GrantRevokeTest",0
"ClassUtils does unnecessary doPrivileged We shall only do this if a SecurityManager is available",1
"BioUdpServer created session are not in the connected state BioUdpSession created by the BioUdpServer are not setted to the connected state",1
"Create a Verifying a Release page Create a page describing steps on how to verify a release",0
"Add Avro codec support Add support for Avro codecs",0
"Add examples for Protobuf and Thrift Add examples for usage of Protobuf and Thrift in example package This would help users easily integrate these codecs",0
"One MINA 204 test is failing when run with a 17 jdk The orgapacheminaexampleechoserverConnectorTest is failing when run with the Java 7 JDK",1
"Add some Logging for SSL messages It would be very cool to have some logs that exhibit SSL messages with all the header decoded",0
"integration of viewcontroller callbacks with typesafe viewconfigs integration of:InitViewPreViewActionPreRenderViewPostRenderView",0
"Add support for transferTo in the chain We should add a new event in the chain to support a zerocopy transfert",0
"Implement SSL on the client side Implement the SSL support on the client side",0
"Needs meaningful error message when AbstractIoSessionwrite called with null AbstractIoSessionwrite called with null message gives rise to javalangIllegalArgumentException: message Not very helpful",0
"write future implementation This future is completed when all the ByteBuffers resulting of the encoding of the message are wrote on the socket ",0
"SimpleIoProcessorPool: using the wrong constructor when IoProcessor has mutiple constructors SimpleIoProcessorPool: using the wrong constructor when IoProcessor has mutiple constructors? Please see the UnitTestCase for more informations",1
"APR code needs unit tests The APR code should be unit tested",0
"Cannot have more than one CODEC in the chain We cannot anymore inject more than one CODEC in the chain",1
"RequestResponse MEP Make the requestresponse mep conformance with the SOAPJMS specification",0
"Add sendfile support to APR transport Patch to add sendfile support to APR transport",0
"Session Idle events never comes in sessions managed by NioDatagramAcceptor Idle events never appears in sessions managed by NioDatagramAcceptor",1
"STS SAMLTokenValidator doesnt validate condition The SAMLTokenValidator doesnt verify whether the condition in the SAML token meets the current time",1
"OneWay MEP support Make the oneway mep conformance with the SOAPJMS",0
"CRLF constants for LineDelimiter Please add the CRLF LineDelimiter used amongst others in rfc2616",0
"Add documentation for using and building serial port connection Add the documentation for building serialtransport and use it in your MINA application",0
"Javadoc  documentation for APR transport The APR transport module is javadoc less and probably need a like documentation in the wiki instalation of APR  jni bindings",0
"Allow multiple state machines for the same session The IoSessionStateContextLookup currently only supports a single StateContext per IoSession This makes it impossible to use several SateMachines for an IoFilter and an IoHandler at the same time",0
"Add throws Exception to IoServiceListener as we did for IoHandler methods As described in the subject",0
"VmPipeAddressEditor does not return equivalent values in defaultText and defaultValue defaultText returns :1 and defaultValue returns essentially :0",1
"DemuxingIoHandler for SingleSessionIoHandlers It will be nice if we implement DemuxingIoHandler which is integrated with orgapacheminahandlermultiton",0
"Incorrect Javadoc for IoServiceListener The Javadoc for IoServiceListener is currently incorrect It currently has identical text to that of IoFutureListener",1
"SCTP Transport based on APR Apache Portable Runtime We can implement SCTP transport with APR using orgapachetomcatjni package",0
"Datagram transport based on APR Apache Portable Runtime We can implement an APRbased DatagramAcceptor and DatagramConnector using orgapachetomcatjni package",0
"Socket Transport based on APR Apache Portable Runtime We can implement an APRbased SocketAcceptor and SocketConnector using orgapachetomcatjni package",0
"Cookies need to handle domain The cookie handler currently does not handle the domainPatch attached",1
